Date,AQI
07-08-2018,113
08-08-2018,86
09-08-2018,88
10-08-2018,102
11-08-2018,96
12-08-2018,83
13-08-2018,94
14-08-2018,117
15-08-2018,120
16-08-2018,86
17-08-2018,84
18-08-2018,80
19-08-2018,89
20-08-2018,137
21-08-2018,87
22-08-2018,78
23-08-2018,69
24-08-2018,80
25-08-2018,89
26-08-2018,78
27-08-2018,62
28-08-2018,71
29-08-2018,68
30-08-2018,78
31-08-2018,127
01-09-2018,114
02-09-2018,106
03-09-2018,73
04-09-2018,112
05-09-2018,90
06-09-2018,137
07-09-2018,91
08-09-2018,86
09-09-2018,61
10-09-2018,84
11-09-2018,79
12-09-2018,90
13-09-2018,103
14-09-2018,102
15-09-2018,118
16-09-2018,121
17-09-2018,135
18-09-2018,150
19-09-2018,154
20-09-2018,164
21-09-2018,143
22-09-2018,54
23-09-2018,62
24-09-2018,52
25-09-2018,55
26-09-2018,88
27-09-2018,151
28-09-2018,197
29-09-2018,219
30-09-2018,158
01-10-2018,148
02-10-2018,202
03-10-2018,143
04-10-2018,201
05-10-2018,256
06-10-2018,209
07-10-2018,181
08-10-2018,246
09-10-2018,251
10-10-2018,241
11-10-2018,210
12-10-2018,154
13-10-2018,262
14-10-2018,204
15-10-2018,246
16-10-2018,291
17-10-2018,313
18-10-2018,297
19-10-2018,276
20-10-2018,326
21-10-2018,292
22-10-2018,272
23-10-2018,254
24-10-2018,328
25-10-2018,331
26-10-2018,361
27-10-2018,350
28-10-2018,366
29-10-2018,367
30-10-2018,401
31-10-2018,358
01-11-2018,393
02-11-2018,370
03-11-2018,340
04-11-2018,171
05-11-2018,426
06-11-2018,338
07-11-2018,281
08-11-2018,390
09-11-2018,423
10-11-2018,401
11-11-2018,405
12-11-2018,399
13-11-2018,409
14-11-2018,312
15-11-2018,217
16-11-2018,285
17-11-2018,267
18-11-2018,311
19-11-2018,330
20-11-2018,374
21-11-2018,374
22-11-2018,273
23-11-2018,337
24-11-2018,249
25-11-2018,262
26-11-2018,336
27-11-2018,352
28-11-2018,316
29-11-2018,358
30-11-2018,352
01-12-2018,306
02-12-2018,297
03-12-2018,328
04-12-2018,356
05-12-2018,331
06-12-2018,349
07-12-2018,348
08-12-2018,347
09-12-2018,374
10-12-2018,403
11-12-2018,413
12-12-2018,392
13-12-2018,194
14-12-2018,249
15-12-2018,261
16-12-2018,282
17-12-2018,337
18-12-2018,353
19-12-2018,353
20-12-2018,394
21-12-2018,386
22-12-2018,421
23-12-2018,450
24-12-2018,448
25-12-2018,409
26-12-2018,384
27-12-2018,399
28-12-2018,392
29-12-2018,385
30-12-2018,415
31-12-2018,420
01-01-2019,393
02-01-2019,430
03-01-2019,444
04-01-2019,386
05-01-2019,407
06-01-2019,336
07-01-2019,333
08-01-2019,320
09-01-2019,288
10-01-2019,292
11-01-2019,371
12-01-2019,423
13-01-2019,414
14-01-2019,247
15-01-2019,237
16-01-2019,371
17-01-2019,440
18-01-2019,397
19-01-2019,378
20-01-2019,404
21-01-2019,346
22-01-2019,104
23-01-2019,212
24-01-2019,311
25-01-2019,151
26-01-2019,233
27-01-2019,262
28-01-2019,267
29-01-2019,276
30-01-2019,327
31-01-2019,359
01-02-2019,306
02-02-2019,332
03-02-2019,289
04-02-2019,288
05-02-2019,382
06-02-2019,352
07-02-2019,176
08-02-2019,144
09-02-2019,158
10-02-2019,276
11-02-2019,309
12-02-2019,342
13-02-2019,367
14-02-2019,340
15-02-2019,245
16-02-2019,276
17-02-2019,222
18-02-2019,255
19-02-2019,221
20-02-2019,271
21-02-2019,144
22-02-2019,186
23-02-2019,113
24-02-2019,190
25-02-2019,217
26-02-2019,116
27-02-2019,100
28-02-2019,170
01-03-2019,225
02-03-2019,217
03-03-2019,117
04-03-2019,234
05-03-2019,140
06-03-2019,186
07-03-2019,217
08-03-2019,197
09-03-2019,187
10-03-2019,160
11-03-2019,187
12-03-2019,134
13-03-2019,178
14-03-2019,266
15-03-2019,154
16-03-2019,139
17-03-2019,192
18-03-2019,196
19-03-2019,216
20-03-2019,208
21-03-2019,242
22-03-2019,114
23-03-2019,132
24-03-2019,121
25-03-2019,139
26-03-2019,159
27-03-2019,171
28-03-2019,234
29-03-2019,232
30-03-2019,233
31-03-2019,182
01-04-2019,151
02-04-2019,198
03-04-2019,187
04-04-2019,254
05-04-2019,264
06-04-2019,266
07-04-2019,302
08-04-2019,264
09-04-2019,204
10-04-2019,238
11-04-2019,183
12-04-2019,212
13-04-2019,170
14-04-2019,137
15-04-2019,168
16-04-2019,180
17-04-2019,84
18-04-2019,114
19-04-2019,157
20-04-2019,198
21-04-2019,203
22-04-2019,236
23-04-2019,247
24-04-2019,221
25-04-2019,251
26-04-2019,215
27-04-2019,256
28-04-2019,264
29-04-2019,248
30-04-2019,250
01-05-2019,295
02-05-2019,257
03-05-2019,183
04-05-2019,182
05-05-2019,227
06-05-2019,249
07-05-2019,294
08-05-2019,357
09-05-2019,347
10-05-2019,277
11-05-2019,251
12-05-2019,334
13-05-2019,322
14-05-2019,153
15-05-2019,186
16-05-2019,187
17-05-2019,265
18-05-2019,105
19-05-2019,185
20-05-2019,206
21-05-2019,190
22-05-2019,158
23-05-2019,223
24-05-2019,123
25-05-2019,121
26-05-2019,142
27-05-2019,160
28-05-2019,177
29-05-2019,185
30-05-2019,218
31-05-2019,280
01-06-2019,264
02-06-2019,201
03-06-2019,261
04-06-2019,169
05-06-2019,192
06-06-2019,206
07-06-2019,173
08-06-2019,181
09-06-2019,239
10-06-2019,207
11-06-2019,307
12-06-2019,233
13-06-2019,175
14-06-2019,171
15-06-2019,224
16-06-2019,178
17-06-2019,123
18-06-2019,97
19-06-2019,199
20-06-2019,141
21-06-2019,177
22-06-2019,189
23-06-2019,148
24-06-2019,109
25-06-2019,133
26-06-2019,162
27-06-2019,184
28-06-2019,191
29-06-2019,231
30-06-2019,237
01-07-2019,183
02-07-2019,218
03-07-2019,136
04-07-2019,103
05-07-2019,106
06-07-2019,88
07-07-2019,91
08-07-2019,127
09-07-2019,126
10-07-2019,148
11-07-2019,317
12-07-2019,272
13-07-2019,275
14-07-2019,235
15-07-2019,168
16-07-2019,93
17-07-2019,73
18-07-2019,85
19-07-2019,145
20-07-2019,124
21-07-2019,108
22-07-2019,112
23-07-2019,148
24-07-2019,164
25-07-2019,78
26-07-2019,81
27-07-2019,61
28-07-2019,64
29-07-2019,65
30-07-2019,80
31-07-2019,80
01-08-2019,89
02-08-2019,84
03-08-2019,89
04-08-2019,87
05-08-2019,105
06-08-2019,76
07-08-2019,75
08-08-2019,79
09-08-2019,75
10-08-2019,59
11-08-2019,68
12-08-2019,57
13-08-2019,69
14-08-2019,63
15-08-2019,75
16-08-2019,53
17-08-2019,49
18-08-2019,49
19-08-2019,81
20-08-2019,97
21-08-2019,109
22-08-2019,123
23-08-2019,129
24-08-2019,147
25-08-2019,91
26-08-2019,66
27-08-2019,117
28-08-2019,105
29-08-2019,91
30-08-2019,101
31-08-2019,114
01-09-2019,108
02-09-2019,96
03-09-2019,141
04-09-2019,173
05-09-2019,95
06-09-2019,90
07-09-2019,82
08-09-2019,77
09-09-2019,108
10-09-2019,137
11-09-2019,168
12-09-2019,151
13-09-2019,86
14-09-2019,72
15-09-2019,72
16-09-2019,105
17-09-2019,135
18-09-2019,110
19-09-2019,66
20-09-2019,90
21-09-2019,114
22-09-2019,67
23-09-2019,83
24-09-2019,94
25-09-2019,90
26-09-2019,74
27-09-2019,63
28-09-2019,67
29-09-2019,60
30-09-2019,68
01-10-2019,93
02-10-2019,90
03-10-2019,136
04-10-2019,100
05-10-2019,98
06-10-2019,127
07-10-2019,130
08-10-2019,112
09-10-2019,173
10-10-2019,211
11-10-2019,216
12-10-2019,222
13-10-2019,270
14-10-2019,252
15-10-2019,270
16-10-2019,304
17-10-2019,284
18-10-2019,248
19-10-2019,161
20-10-2019,238
21-10-2019,249
22-10-2019,207
23-10-2019,242
24-10-2019,311
25-10-2019,284
26-10-2019,287
27-10-2019,337
28-10-2019,368
29-10-2019,400
30-10-2019,419
31-10-2019,410
01-11-2019,484
02-11-2019,399
03-11-2019,494
04-11-2019,407
05-11-2019,324
06-11-2019,214
07-11-2019,309
08-11-2019,330
09-11-2019,283
10-11-2019,321
11-11-2019,360
12-11-2019,425
13-11-2019,456
14-11-2019,463
15-11-2019,458
16-11-2019,357
17-11-2019,215
18-11-2019,214
